id,user_id,name,type
4,,FOOD,expense
5,,TRANSPORT,expense
6,,ENTERTAIMENT,expense
7,,SHOPPING,expense
8,,SALARY,income
10,,FREELANCER,income
11,,OTHER,income
1,2,Food,expense
2,2,Transport,expense
3,2,Shopping,expense
4,2,Bills,expense
5,2,Entertainment,expense
6,2,Health,expense
7,2,Education,expense
8,2,Salary,income
9,2,Other,income
1,1,Food,expense
2,1,Transport,expense
3,1,Shopping,expense
4,1,Bills,expense
5,1,Entertainment,expense
6,1,Health,expense
7,1,Education,expense
8,1,Salary,income
9,1,Other,income
1,2,Food,expense
2,2,Transport,expense
3,2,Shopping,expense
4,2,Bills,expense
5,2,Entertainment,expense
6,2,Health,expense
7,2,Education,expense
8,2,Salary,income
9,2,Other,income
